ID,Year,Date,State,GeoRegion,ColonyName,Latitude,Longitude,SpeciesCode,Nests,Birds,Notes,BestForBPE?,CombinedMayJuneTotal?
2702,2013,"05/25/13 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"ROYT",4767,4935,,"Y","N"
2703,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Houma Navigation Canal Island",29.19515,-90.61565,"LAGU",4719,8042,,"Y","N"
4564,2021,"06/16/21 00:00:00","LA","Breton-Chandeleur Islands","New Harbor Island 3",29.8542,-88.8634,"BRPE",4684,7147,,"Y","N"
4565,2021,"06/16/21 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",4668,8491,,"Y","N"
4566,2021,"06/15/21 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"LAGU",4641,7890,,"Y","Y"
36,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Wine Island",29.0948,-90.6108,"SATE",4624,4788,,"Y","N"
2704,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"ROYT",4605,5445,,"Y","N"
2705,2013,"05/24/13 00:00:00","LA","Biloxi South","Belle Isle",29.5758,-89.5727,"LAGU",4578,6589,,"Y","N"
2146,2012,"06/19/12 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North G",29.865132,-88.832617,"SATE",4519,4733,,"Y","N"
1517,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Wine Island",29.0948,-90.6108,"ROYT",4509,4961,,"Y","N"
2706,2013,"05/23/13 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",4499,6048,,"Y","N"
1518,2011,"06/15/11 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North F",29.881806,-88.828345,"ROYT",4454,4926,,"Y","Y"
4084,2018,"06/24/18 00:00:00","LA","Birdsfoot East","Gunn Island",29.4136,-89.2957,"ROYT",4395,4564,,"Y","N"
2707,2013,"05/23/13 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",4384,6801,,"Y","N"
1519,2011,"05/17/11 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",4353,5625,"Does not include 28 Empty Nests","Y","N"
4567,2021,"06/17/21 00:00:00","LA","Biloxi South","Belle Isle",29.5758,-89.5727,"LAGU",4353,6282,,"Y","N"
4568,2021,"05/17/21 00:00:00","TX","Upper Laguna Madre","Pita Island",27.60181,-97.2876,"LAGU",4349,6526,,"Y","N"
3355,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North A",29.969531,-88.82772199999999,"SATE",4340,5371,,"Y","N"
2708,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",4336,5671,"Does not include 3 Empty Nests","Y","N"
4569,2021,"05/18/21 00:00:00","TX","Galveston","Evia Island",29.4282,-94.7638,"ROYT",4336,4673,,"Y","N"
4570,2021,"06/16/21 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",4301,6225,,"Y","N"
2709,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",4278,6642,,"Y","N"
4571,2021,"05/17/21 00:00:00","TX","Lower Laguna Madre","Bahia Grande C Central",26.038968,-97.28825500000001,"LAGU",4239,6180,,"Y","N"
2147,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",4191,5915,,"Y","N"
37,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"LAGU",4116,7315,,"Y","N"
,2010,"06/27/10 00:00:00","LA","Biloxi North","Martin Island",29.959,-89.19840000000001,"UNWA",2,0,"Does not include 554 Empty Nests","Y","Y"
,2021,"05/24/21 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"GBHE",0,1,,"Y","N"
,2010,"06/27/10 00:00:00","LA","Biloxi North","Drum Bay Island",29.9197,-89.2627,"WHEG",59,121,,"Y","N"
4085,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","New Harbor Island 3",29.8542,-88.8634,"BRPE",4114,5087,,"Y","N"
2148,2012,"05/30/12 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"WHIB",4063,4403,"Does not include 36 Empty Nests","Y","N"
4086,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Philo Brice Islands",29.18416,-90.34678,"BRPE",4039,6123,,"Y","N"
3356,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Houma Navigation Canal Island",29.19515,-90.61565,"LAGU",4011,5758,,"Y","N"
2710,2013,"05/23/13 00:00:00","LA","Atchafalaya Bay","Skimmer Island",29.3864,-91.3836,"WHIB",3991,6026,,"Y","N"
38,2010,"05/18/10 00:00:00","LA","Biloxi North","Brush Island",30.034,-89.1863,"SATE",3979,4524,,"Y","N"
39,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Wine Island",29.0948,-90.6108,"ROYT",3936,4048,,"Y","N"
2149,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"ROYT",3911,4353,,"Y","N"
2711,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"SATE",3892,4811,,"Y","N"
40,2010,"06/13/10 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"WHIB",3880,3907,,"Y","N"
41,2010,"06/25/10 00:00:00","TX","Galveston","North Deer Island",29.28519,-94.92462,"LAGU",3808,7925,,"Y","N"
3357,2015,"05/16/15 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",3799,5469,,"Y","N"
42,2010,"05/17/10 00:00:00","LA","Sabine-Calcasieu","Rabbit Island",29.8494,-93.383,"LAGU",3734,4181,,"Y","N"
4572,2021,"05/18/21 00:00:00","TX","Galveston","Kanaloa Spoil",29.29323,-94.93583,"LAGU",3695,4694,,"Y","N"
4574,2021,"06/16/21 00:00:00","LA","Biloxi North","Biloxi North 38",30.00238,-89.21496999999999,"LAGU",3653,5165,,"Y","N"
4573,2021,"05/22/21 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"SATE",3653,3810,,"Y","Y"
4575,2021,"05/17/21 00:00:00","TX","Lower Laguna Madre","Bahia Grande C East",26.04147,-97.28154000000001,"LAGU",3598,5337,,"Y","Y"
2712,2013,"05/25/13 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"WHIB",3552,4132,,"Y","N"
43,2010,"05/08/10 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",3441,4921,"Does not include 8 Empty Nests","Y","N"
4576,2021,"05/17/21 00:00:00","TX","Corpus Christi-Aransas Bay","Shamrock Island",27.75883,-97.16936,"SATE",3432,3764,,"Y","Y"
2713,2013,"06/19/13 00:00:00","LA","Terrebonne Bay","Terrebonne Bay 1",29.21025,-90.57022000000001,"ROYT",3427,3752,,"Y","N"
4577,2021,"05/22/21 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",3425,4885,,"Y","N"
1520,2011,"05/17/11 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"ROYT",3421,4788,,"Y","N"
44,2010,"06/14/10 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",3401,5587,"Does not include 38 Empty Nests","Y","N"
2714,2013,"06/19/13 00:00:00","LA","Terrebonne Bay","Terrebonne Bay 1",29.21025,-90.57022000000001,"SATE",3399,3510,,"Y","N"
3358,2015,"06/21/15 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South E",29.765024,-88.887086,"SATE",3374,3439,,"Y","N"
2150,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",3350,4952,"Does not include 23 Empty Nests","Y","N"
1521,2011,"06/15/11 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North B",29.949821,-88.823795,"SATE",3326,3608,,"Y","N"
2151,2012,"05/28/12 00:00:00","LA","Biloxi South","Belle Isle",29.5758,-89.5727,"LAGU",3286,4286,,"Y","N"
3359,2015,"05/17/15 00:00:00","LA","Biloxi South","Belle Isle",29.5758,-89.5727,"LAGU",3262,5060,,"Y","N"
2715,2013,"05/24/13 00:00:00","LA","Biloxi North","Brush Island",30.034,-89.1863,"SATE",3247,3435,,"Y","Y"
2152,2012,"05/27/12 00:00:00","LA","Barataria Bay","Cat Bay South Island",29.3341,-89.8716,"ROYT",3234,3808,,"Y","N"
45,2010,"06/25/10 00:00:00","TX","Galveston","West Bay Bird Island New",29.09832,-95.14131999999999,"LAGU",3201,4316,,"Y","N"
46,2010,"06/10/10 00:00:00","FL","Tampa Bay","Egmont Key",27.5793,-82.75960000000001,"ROSA",3165,916,"Includes 2342 Empty Nests","Y","N"
4087,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"ROYT",3156,3862,,"Y","N"
2153,2012,"06/19/12 00:00:00","LA","Birdsfoot East","Birdsfoot East 3",29.3725,-89.29989999999999,"BLSK",3127,4939,,"Y","N"
4088,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Houma Navigation Canal Island",29.19515,-90.61565,"BRPE",3120,4176,,"Y","N"
47,2010,"06/14/10 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",3116,5066,,"Y","N"
4578,2021,"06/18/21 00:00:00","TX","Galveston","South Deer Island",29.27195,-94.9119,"WHIB",3116,3299,,"Y","N"
3360,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Houma Navigation Canal Island",29.19515,-90.61565,"BRPE",3115,4538,,"Y","N"
4089,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",3089,4263,,"Y","Y"
1522,2011,"05/17/11 00:00:00","LA","Atchafalaya Bay","Skimmer Island",29.3864,-91.3836,"LAGU",3072,3783,,"Y","N"
4579,2021,"05/18/21 00:00:00","TX","Galveston","Evia Island",29.4282,-94.7638,"SATE",3004,3201,,"Y","N"
1523,2011,"05/18/11 00:00:00","LA","Biloxi South","Biloxi South 5 A",29.6523,-89.464,"LAGU",3001,4919,,"Y","N"
4090,2018,"05/19/18 00:00:00","LA","Biloxi North","Biloxi North 12",30.042,-89.273,"LAGU",2947,3638,,"Y","Y"
4091,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Philo Brice Islands",29.18416,-90.34678,"LAGU",2888,4808,,"Y","N"
2154,2012,"05/29/12 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South C",29.780414,-88.87419199999999,"SATE",2882,3143,,"Y","Y"
3361,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South C",29.780414,-88.87419199999999,"ROYT",2870,3206,,"Y","Y"
4580,2021,"05/17/21 00:00:00","TX","Matagorda Bay","Chester Island",28.45174,-96.34689,"ROYT",2837,3453,,"Y","Y"
1524,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Wine Island",29.0948,-90.6108,"SATE",2822,3295,,"Y","N"
1525,2011,"05/18/11 00:00:00","LA","Biloxi South","Biloxi South 5 B",29.6521,-89.4577,"LAGU",2816,4528,,"Y","N"
2155,2012,"05/28/12 00:00:00","LA","Biloxi South","Long Bay Island",29.5021,-89.5356,"LAGU",2802,5084,,"Y","N"
