ColonyID,ActiveInventory,ColonyGroupBuffer,ColonyName,State,Longitude,Latitude,PrimaryHabitat,LandForm,GeoRegion,ExtrapArea,TerrestEcoRegion,MarineEcoRegion,FormerNames,OrigDotterID,NOTES August 2022
"SGC_B","Yes","Saint George Causeway","Saint George Causeway B","FL",-84.88656,29.69894,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW19BRPE1",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_C","Yes","Saint George Causeway","Saint George Causeway C","FL",-84.88503,29.69565,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW18BRPE03",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_D","Yes","Saint George Causeway","Saint George Causeway D","FL",-84.88506,29.6952,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","St. George Causeway",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_E","Yes","Saint George Causeway","Saint George Causeway E","FL",-84.88473,29.69496,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW19LAGU01",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_F","Yes","Saint George Causeway","Saint George Causeway F","FL",-84.88442000000001,29.69466,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW18LAGU01",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_G","Yes","Saint George Causeway","Saint George Causeway G","FL",-84.884,29.6943,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","ApalachicolaEast_3","KMR5","Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_H","Yes","Saint George Causeway","Saint George Causeway H","FL",-84.88153,29.69284,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW18BRPE01",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_I","Yes","Saint George Causeway","Saint George Causeway I","FL",-84.88173,29.69275,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW19BRPE02",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_J","Yes","Saint George Causeway","Saint George Causeway J","FL",-84.87907,29.6912,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","18CWSOTE01",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGC_K","Yes","Saint George Causeway","Saint George Causeway K","FL",-84.87788999999999,29.68939,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW18TERN01",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"H_SGIS","No","Saint George Island","Saint George Island","FL",-84.7769,29.6952,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None","St. George Is.","Inactive; dotted but no nests counted in 2010."
"SGPL","Yes","Saint George Island Plantation","Saint George Island Plantation","FL",-84.95554,29.61734,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,
"CG_SGI","Yes","Saint George Island State Park","Saint George Island State Park","FL",-84.691619,29.76686,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"SGI_A","Yes","Saint George Island State Park","Saint George Island State Park A","FL",-84.69143,29.76519,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","East End - BLSK colony 1",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGI_B","Yes","Saint George Island State Park","Saint George Island State Park B","FL",-84.69181,29.76853,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","East End - BLSK colony 2",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"SGISP","Yes","Saint George Island State Park Shelly Pocket","Saint George Island State Park Shelly Pocket","FL",-84.71352,29.74592,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","East End - Shelly Pocket Colony",,
"SJL","Yes","Saint Joseph Lagoon","Saint Joseph Lagoon","FL",-85.39393,29.87636,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","St. Joseph Lagoon BLSK colony",,
"H_SJSS","No","Saint Joseph Sound Spoil Island","Saint Joseph Sound Spoil Island","FL",-82.8,28.0754,,,"Tampa Bay","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP28","Surveyed 2010 only."
"H_SMK_A","No","Saint Martins Keys","Saint Martins Key A","FL",-82.7555,28.8004,,,"Crystal River","South Florida","Big Bend Coastal Marsh","Eastern Gulf Neritic",,"MWP36","Surveyed 2010 only."
"H_SMK_B","No","Saint Martins Keys","Saint Martins Key B","FL",-82.7501,28.8004,,,"Crystal River","South Florida","Big Bend Coastal Marsh","Eastern Gulf Neritic",,"MWP34","Surveyed 2010 only."
"H_SMK_C","No","Saint Martins Keys","Saint Martins Key C","FL",-82.73699999999999,28.799,,,"Crystal River","South Florida","Big Bend Coastal Marsh","Eastern Gulf Neritic",,"MWP35","Surveyed 2010 only."
"H_SVIR","No","Saint Vincent Island Roost","Saint Vincent Island Roost","FL",-85.2214,29.6773,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None","St. Vincent Is.Roost","Inactive; dotted but no nests counted in 2010."
"H_SL_G","No","Salt Lake G","Salt Lake G","TX",-97.093,28.07,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","Salt Lake","Salt Lake","TCWB database - active 2021; excluded from analyses 2014.  One of several islands in Salt Lake."
